ID_site;Mois;bloc;coupe;exclos;analogue;P.cin;Carabes;Collemboles
ACTAEA3;juin;A;totale;avec;3;0;0;1
ACTSEA1;juin;A;totale;sans;1;0;0;1
ACTSEA2;juin;A;totale;sans;2;0;5;0
ACTSEA3;juin;A;totale;sans;3;0;1;0
ACPAEA1;juin;A;partielle;avec;1;0;0;9
ACPAEA2;juin;A;partielle;avec;2;0;0;21
ACPAEA3;juin;A;partielle;avec;3;0;0;9
ACPSEA1;juin;A;partielle;sans;1;0;0;1
ACPSEA2;juin;A;partielle;sans;2;1;0;18
ACPSEA3;juin;A;partielle;sans;3;0;1;2
AT1;juin;A;temoin;temoin;temoin;0;0;1
AT2;juin;A;temoin;temoin;temoin;0;1;0
AT3;juin;A;temoin;temoin;temoin;0;0;0
BCTAEA1;juin;B;totale;avec;1;0;0;0
BCTAEA2;juin;B;totale;avec;2;0;0;1
BCTAEA3;juin;B;totale;avec;3;0;0;2
BCTSEA1;juin;B;totale;sans;1;0;0;1
BCTSEA2;juin;B;totale;sans;2;0;2;1
BCTSEA3;juin;B;totale;sans;3;0;1;0
BCPAEA1;juin;B;partielle;avec;1;0;2;0
BCPAEA2;juin;B;partielle;avec;2;0;3;4
BCPAEA3;juin;B;partielle;avec;3;0;1;1
BCPSEA1;juin;B;partielle;sans;1;0;0;30
BCPSEA2;juin;B;partielle;sans;2;0;0;0
BCPSEA3;juin;B;partielle;sans;3;0;0;1
BT1;juin;B;temoin;temoin;temoin;0;2;1
BT2;juin;B;temoin;temoin;temoin;0;0;4
BT3;juin;B;temoin;temoin;temoin;0;0;0
CCTAEA1;juin;C;totale;avec;1;0;0;0
CCTAEA2;juin;C;totale;avec;2;0;3;0
CCTAEA3;juin;C;totale;avec;3;0;4;0
CCTSEA1;juin;C;totale;sans;1;0;3;0
CCTSEA2;juin;C;totale;sans;2;0;1;0
CCTSEA3;juin;C;totale;sans;3;0;1;1
CCPAEA1;juin;C;partielle;avec;1;0;0;1
CCPAEA2;juin;C;partielle;avec;2;0;1;0
CCPAEA3;juin;C;partielle;avec;3;0;0;1
CCPSEA1;juin;C;partielle;sans;1;0;1;0
CCPSEA2;juin;C;partielle;sans;2;0;1;0
CCPSEA3;juin;C;partielle;sans;3;0;1;0
CT1;juin;C;temoin;temoin;temoin;0;0;0
CT2;juin;C;temoin;temoin;temoin;0;0;1
CT3;juin;C;temoin;temoin;temoin;0;0;20
DCTAEA1;juin;D;totale;avec;1;0;2;0
DCTAEA2;juin;D;totale;avec;2;0;2;0
DCTAEA3;juin;D;totale;avec;3;0;0;0
DCTSEA1;juin;D;totale;sans;1;0;0;0
DCTSEA2;juin;D;totale;sans;2;0;3;0
DCTSEA3;juin;D;totale;sans;3;0;2;0
DCPAEA1;juin;D;partielle;avec;1;0;0;5
DCPAEA2;juin;D;partielle;avec;2;0;0;3
DCPAEA3;juin;D;partielle;avec;3;0;1;54
DCPSEA1;juin;D;partielle;sans;1;0;0;1
DCPSEA2;juin;D;partielle;sans;2;0;1;3
DCPSEA3;juin;D;partielle;sans;3;0;1;0
DT1;juin;D;temoin;temoin;temoin;0;0;1
DT2;juin;D;temoin;temoin;temoin;0;3;8
DT3;juin;D;temoin;temoin;temoin;0;1;2
ACTAEA1;juillet;A;totale;avec;1;0;2;0
ACTAEA2;juillet;A;totale;avec;2;0;0;0
ACTAEA3;juillet;A;totale;avec;3;0;0;1
ACTSEA1;juillet;A;totale;sans;1;0;0;10
ACTSEA2;juillet;A;totale;sans;2;0;1;0
ACTSEA3;juillet;A;totale;sans;3;0;3;3
ACPAEA1;juillet;A;partielle;avec;1;0;0;0
ACPAEA2;juillet;A;partielle;avec;2;1;0;3
ACPAEA3;juillet;A;partielle;avec;3;0;0;1
ACPSEA1;juillet;A;partielle;sans;1;0;1;1
ACPSEA2;juillet;A;partielle;sans;2;0;1;0
ACPSEA3;juillet;A;partielle;sans;3;0;3;1
AT1;juillet;A;temoin;temoin;temoin;0;3;0
AT2;juillet;A;temoin;temoin;temoin;0;0;2
AT3;juillet;A;temoin;temoin;temoin;0;0;7
BCTAEA1;juillet;B;totale;avec;1;1;2;2
BCTAEA2;juillet;B;totale;avec;2;1;2;1
BCTAEA3;juillet;B;totale;avec;3;0;2;6
BCTSEA1;juillet;B;totale;sans;1;1;0;22
BCTSEA2;juillet;B;totale;sans;2;0;2;2
BCTSEA3;juillet;B;totale;sans;3;0;1;0
BCPAEA1;juillet;B;partielle;avec;1;2;1;34
BCPAEA2;juillet;B;partielle;avec;2;0;0;1
BCPAEA3;juillet;B;partielle;avec;3;0;0;1
BCPSEA1;juillet;B;partielle;sans;1;1;0;1
BCPSEA2;juillet;B;partielle;sans;2;0;1;0
BCPSEA3;juillet;B;partielle;sans;3;0;0;0
BT1;juillet;B;temoin;temoin;temoin;0;1;0
BT2;juillet;B;temoin;temoin;temoin;2;0;2
BT3;juillet;B;temoin;temoin;temoin;0;0;18
CCTAEA1;juillet;C;totale;avec;1;0;2;3
CCTAEA2;juillet;C;totale;avec;2;0;4;1
CCTAEA3;juillet;C;totale;avec;3;0;6;1
CCTSEA1;juillet;C;totale;sans;1;0;2;0
CCTSEA2;juillet;C;totale;sans;2;0;5;0
CCTSEA3;juillet;C;totale;sans;3;0;2;3
CCPAEA1;juillet;C;partielle;avec;1;0;0;0
CCPAEA2;juillet;C;partielle;avec;2;0;1;3
CCPAEA3;juillet;C;partielle;avec;3;0;0;0
CCPSEA1;juillet;C;partielle;sans;1;0;0;1
CCPSEA2;juillet;C;partielle;sans;2;0;1;2
CCPSEA3;juillet;C;partielle;sans;3;0;1;1
CT1;juillet;C;temoin;temoin;temoin;0;1;1
CT2;juillet;C;temoin;temoin;temoin;0;6;0
CT3;juillet;C;temoin;temoin;temoin;0;2;2
DCTAEA1;juillet;D;totale;avec;1;1;6;0
DCTAEA2;juillet;D;totale;avec;2;0;0;6
DCTAEA3;juillet;D;totale;avec;3;0;1;6
DCTSEA1;juillet;D;totale;sans;1;0;0;14
DCTSEA2;juillet;D;totale;sans;2;0;1;0
DCTSEA3;juillet;D;totale;sans;3;0;3;1
DCPAEA1;juillet;D;partielle;avec;1;0;0;2
DCPAEA2;juillet;D;partielle;avec;2;0;1;4
DCPAEA3;juillet;D;partielle;avec;3;1;2;1
DCPSEA1;juillet;D;partielle;sans;1;0;0;0
DCPSEA2;juillet;D;partielle;sans;2;0;2;2
DCPSEA3;juillet;D;partielle;sans;3;1;2;1
DT1;juillet;D;temoin;temoin;temoin;1;0;2
DT2;juillet;D;temoin;temoin;temoin;0;1;2
DT3;juillet;D;temoin;temoin;temoin;0;2;0
ACTAEA1;aout;A;totale;avec;1;0;1;0
ACTAEA2;aout;A;totale;avec;2;0;0;1
ACTAEA3;aout;A;totale;avec;3;0;0;1
ACTSEA1;aout;A;totale;sans;1;0;0;4
ACTSEA2;aout;A;totale;sans;2;0;1;2
ACTSEA3;aout;A;totale;sans;3;0;0;1
ACPAEA1;aout;A;partielle;avec;1;0;1;0
ACPAEA2;aout;A;partielle;avec;2;0;0;0
ACPAEA3;aout;A;partielle;avec;3;0;0;0
ACPSEA1;aout;A;partielle;sans;1;0;0;1
ACPSEA2;aout;A;partielle;sans;2;0;0;0
ACPSEA3;aout;A;partielle;sans;3;1;3;1
AT1;aout;A;temoin;temoin;temoin;0;2;0
AT2;aout;A;temoin;temoin;temoin;1;0;1
AT3;aout;A;temoin;temoin;temoin;0;1;0
BCTAEA1;aout;B;totale;avec;1;1;0;1
BCTAEA2;aout;B;totale;avec;2;1;0;1
BCTAEA3;aout;B;totale;avec;3;0;0;7
BCTSEA1;aout;B;totale;sans;1;0;0;0
BCTSEA2;aout;B;totale;sans;2;0;1;7
BCTSEA3;aout;B;totale;sans;3;0;2;1
BCPAEA1;aout;B;partielle;avec;1;0;0;3
BCPAEA2;aout;B;partielle;avec;2;0;0;0
BCPAEA3;aout;B;partielle;avec;3;0;2;1
BCPSEA1;aout;B;partielle;sans;1;3;0;0
BCPSEA2;aout;B;partielle;sans;2;0;0;0
BCPSEA3;aout;B;partielle;sans;3;3;0;0
BT1;aout;B;temoin;temoin;temoin;3;0;3
BT2;aout;B;temoin;temoin;temoin;0;1;2
BT3;aout;B;temoin;temoin;temoin;1;0;2
CCTAEA1;aout;C;totale;avec;1;0;2;4
CCTAEA2;aout;C;totale;avec;2;0;1;0
CCTAEA3;aout;C;totale;avec;3;0;0;16
CCTSEA1;aout;C;totale;sans;1;0;0;3
CCTSEA2;aout;C;totale;sans;2;0;2;0
CCTSEA3;aout;C;totale;sans;3;0;0;0
CCPAEA1;aout;C;partielle;avec;1;0;0;0
CCPAEA2;aout;C;partielle;avec;2;0;0;1
CCPAEA3;aout;C;partielle;avec;3;0;0;0
CCPSEA1;aout;C;partielle;sans;1;1;1;2
CCPSEA2;aout;C;partielle;sans;2;0;1;2
CCPSEA3;aout;C;partielle;sans;3;0;2;3
CT1;aout;C;temoin;temoin;temoin;0;0;3
CT2;aout;C;temoin;temoin;temoin;0;1;1
CT3;aout;C;temoin;temoin;temoin;0;0;2
DCTAEA1;aout;D;totale;avec;1;0;3;7
DCTAEA2;aout;D;totale;avec;2;0;1;0
DCTAEA3;aout;D;totale;avec;3;0;1;1
DCTSEA1;aout;D;totale;sans;1;0;1;8
DCTSEA2;aout;D;totale;sans;2;0;1;13
DCTSEA3;aout;D;totale;sans;3;0;1;3
DCPAEA1;aout;D;partielle;avec;1;0;1;0
DCPAEA2;aout;D;partielle;avec;2;0;0;0
DCPAEA3;aout;D;partielle;avec;3;1;0;0
DCPSEA1;aout;D;partielle;sans;1;1;0;3
DCPSEA2;aout;D;partielle;sans;2;0;0;2
DCPSEA3;aout;D;partielle;sans;3;0;0;0
DT1;aout;D;temoin;temoin;temoin;0;0;15
DT2;aout;D;temoin;temoin;temoin;0;1;3
DT3;aout;D;temoin;temoin;temoin;0;0;15
